Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
78.61700010299683,78.54800009727478,0.003000020980834961,11.0,21.0,30.4,-28.1
69.57800006866455,69.57800006866455,0.0,9.0,17.0,21.7,-20.9
121.51699995994568,121.51699995994568,0.0,4.0,37.0,14.3,-4.7
80.04900002479553,80.04800009727478,0.0,11.0,25.0,34.8,-25.3
106.64299988746643,106.64299988746643,0.0,15.0,29.0,38.4,-40.6
131.2850000858307,131.2850000858307,0.0,5.0,43.0,17.4,-7.4
70.90900015830994,70.90900015830994,0.0,6.0,19.0,17.0,-10.1
161.2409999370575,161.2409999370575,0.0,12.0,47.0,33.4,-27.5
64.3989999294281,64.3989999294281,0.0,10.0,11.0,22.6,-17.9
67.08199977874756,67.0809998512268,0.0,8.0,15.0,25.8,-25.2
110.74300003051758,110.74200010299683,0.0,3.0,33.0,17.8,-3.3
120.04299998283386,120.02300000190735,0.0,14.0,38.0,31.1,-36.2
128.61299991607666,128.61299991607666,0.0,0.0,46.0,7.6,-2.5
79.74600005149841,79.74600005149841,0.0,1.0,27.0,10.4,-3.9
75.21099996566772,75.21099996566772,0.0,2.0,23.0,11.8,-6.0
107.51099991798401,107.51099991798401,0.0,9.0,31.0,25.4,-18.0
112.15700006484985,112.15700006484985,0.0,13.0,34.0,32.6,-31.1
123.92600011825562,123.92600011825562,0.0,3.0,40.0,13.5,-6.0
66.40599989891052,66.40599989891052,0.0,6.0,14.0,12.6,-6.8
165.77600002288818,165.77600002288818,0.0,7.0,49.0,19.2,-10.4
68.83700013160706,68.83700013160706,0.0,6.0,17.0,18.9,-14.6
70.80000019073486,70.80000019073486,0.0,9.0,19.0,24.6,-20.8
110.23900008201599,110.23900008201599,0.0,0.0,34.0,15.1,-5.5
109.11899995803833,109.11899995803833,0.0,5.0,32.0,15.2,-9.5
70.88199996948242,70.88100004196167,0.0,6.0,19.0,17.0,-10.1
63.73399996757507,63.73399996757507,0.0,13.0,10.0,34.9,-34.0
75.46399998664856,75.46300005912781,0.0,4.0,23.0,14.5,-9.5
64.3989999294281,64.3989999294281,0.0,10.0,11.0,22.6,-17.9
112.0550000667572,112.05400013923645,0.0,10.0,34.0,27.5,-20.9
76.79399991035461,76.79399991035461,0.0,4.0,24.0,20.6,-11.9
69.4670000076294,69.44299983978271,0.0,9.0,18.0,24.1,-21.6
63.81599998474121,63.81599998474121,0.0,4.0,10.0,10.7,-6.1
106.7960000038147,106.77400016784668,0.0,6.0,31.0,20.3,-12.2
80.25399994850159,80.25300002098083,0.0,9.0,27.0,24.8,-22.5
105.98399996757507,105.98399996757507,0.0,7.0,30.0,20.5,-13.1
125.91300010681152,125.91300010681152,0.0,4.0,41.0,15.8,-6.8
153.9720001220703,153.9720001220703,0.0,4.0,44.0,15.2,-6.8
162.0770001411438,162.0770001411438,0.0,2.0,48.0,7.6,-1.9
118.93300008773804,118.93200016021729,0.0,12.0,37.0,29.8,-27.4
104.76300001144409,104.76300001144409,0.0,15.0,29.0,38.4,-40.6
112.36299991607666,112.36299991607666,0.0,4.0,34.0,18.2,-6.0
66.30700016021729,66.30700016021729,0.0,2.0,14.0,11.9,-6.8
65.63100004196167,65.60999989509583,0.0,13.0,13.0,36.3,-34.8
78.43899989128113,78.43899989128113,0.0,7.0,25.0,22.7,-15.2
112.19400000572205,112.1930000782013,0.0,14.0,34.0,37.0,-36.2
103.77900004386902,103.77800011634827,0.0,8.0,29.0,24.1,-20.2
104.76200008392334,104.76100015640259,0.0,2.0,30.0,10.0,-1.9
113.58699989318848,113.58699989318848,0.0,10.0,35.0,25.4,-21.6
63.829999923706055,63.829999923706055,0.0,9.0,10.0,22.8,-23.4
118.64500021934509,118.64500021934509,0.0,12.0,37.0,29.8,-27.4
103.81199979782104,103.81199979782104,0.0,13.0,29.0,34.7,-34.0
72.94200015068054,72.91700005531311,0.0,11.0,21.0,30.4,-28.1
146.05099987983704,146.05099987983704,0.0,4.0,41.0,15.8,-6.8
112.29200005531311,112.29200005531311,0.0,10.0,34.0,27.5,-20.9
133.54199981689453,133.54199981689453,0.0,10.0,41.0,30.5,-23.1
76.64999985694885,76.64999985694885,0.0,5.0,24.0,20.6,-14.7
68.62700009346008,68.61100006103516,0.0,12.0,17.0,24.0,-27.5
118.41100001335144,118.40999984741211,0.0,8.0,37.0,22.0,-15.2
64.33699989318848,64.31199979782104,0.0,14.0,10.0,36.3,-39.2
64.79999995231628,64.79999995231628,0.0,8.0,12.0,20.9,-19.4
71.73799991607666,71.73799991607666,0.0,4.0,20.0,15.1,-9.0
69.62599992752075,69.62599992752075,0.0,15.0,18.0,39.2,-42.7
140.07400012016296,140.07299995422363,0.0,4.0,38.0,15.4,-8.2
65.54199981689453,65.54099988937378,0.0,7.0,13.0,22.3,-17.0
103.60599994659424,103.60599994659424,0.0,12.0,29.0,33.3,-30.4
73.9670000076294,73.96600008010864,0.0,6.0,22.0,18.2,-16.6
106.38499999046326,106.38499999046326,0.0,0.0,32.0,14.9,-3.3
71.80399990081787,71.80299997329712,0.0,4.0,20.0,15.1,-9.0
67.72000002861023,67.72000002861023,0.0,1.0,16.0,12.0,-6.1
69.3659999370575,69.3659999370575,0.0,6.0,18.0,18.5,-8.6
105.7039999961853,105.7039999961853,0.0,15.0,30.0,34.1,-40.6
73.97000002861023,73.97000002861023,0.0,11.0,22.0,26.3,-26.7
76.26600003242493,76.26500010490417,0.0,2.0,24.0,17.8,-10.5
66.42400002479553,66.4229998588562,0.0,15.0,14.0,34.8,-36.9
103.61999988555908,103.61899995803833,0.0,11.0,29.0,32.5,-28.2
74.02900004386902,74.02900004386902,0.0,9.0,22.0,19.6,-19.4
134.54999995231628,134.54900002479553,0.0,15.0,35.0,34.7,-39.1
63.83799982070923,63.83799982070923,0.0,9.0,10.0,22.8,-23.4
76.65300011634827,76.65300011634827,0.0,5.0,24.0,20.6,-14.7
72.86100006103516,72.86100006103516,0.0,5.0,21.0,12.6,-5.0
67.82999992370605,67.82999992370605,0.0,9.0,16.0,25.1,-19.4
69.51599979400635,69.5149998664856,0.0,6.0,18.0,18.5,-8.6
110.9079999923706,110.90700006484985,0.0,12.0,33.0,34.8,-28.9
63.78399991989136,63.78399991989136,0.0,8.0,10.0,17.9,-15.6
67.02900004386902,67.02900004386902,0.0,9.0,14.0,24.5,-20.1
103.72500014305115,103.72500014305115,0.0,0.0,30.0,7.1,-0.6
105.1470000743866,105.1470000743866,0.0,11.0,30.0,26.8,-28.2
93.94200015068054,93.94099998474121,0.0,11.0,22.0,26.3,-26.7
68.48399996757507,68.48399996757507,0.0,2.0,17.0,11.7,-6.0
96.4210000038147,96.4210000038147,0.0,2.0,24.0,17.8,-10.5
65.4210000038147,65.4210000038147,0.0,12.0,13.0,34.3,-30.4
135.5279998779297,135.5279998779297,0.0,7.0,36.0,26.4,-14.3
137.95000004768372,137.93299984931946,0.0,1.0,37.0,6.5,-2.6
100.16899991035461,100.1470000743866,0.0,2.0,27.0,12.6,-3.9
97.33800005912781,97.33800005912781,0.0,1.0,25.0,12.7,-2.5
73.59899997711182,73.59800004959106,0.0,0.0,22.0,8.3,-1.9
68.86299991607666,68.86299991607666,0.0,15.0,17.0,35.6,-38.3
100.16199994087219,100.16199994087219,0.0,9.0,27.0,24.8,-22.5
68.65100002288818,68.64900016784668,0.0,10.0,17.0,22.5,-23.1
63.74000000953674,63.74000000953674,0.0,3.0,10.0,10.7,-5.4
73.66400003433228,73.66300010681152,0.0,2.0,22.0,10.6,-6.9
132.2630000114441,132.2630000114441,0.0,6.0,34.0,18.7,-8.8
97.44299983978271,97.44199991226196,0.0,1.0,25.0,12.7,-2.5
165.11899995803833,165.11899995803833,0.0,15.0,40.0,36.3,-36.9
139.8510000705719,139.8510000705719,0.0,0.0,39.0,13.6,-0.6
97.79200005531311,97.76900005340576,0.0,6.0,25.0,21.2,-9.6
72.7960000038147,72.7960000038147,0.0,6.0,21.0,15.4,-10.1
65.36099982261658,65.36099982261658,0.0,1.0,13.0,10.1,-2.6
103.73699998855591,103.71799993515015,0.0,0.0,30.0,7.1,-0.6
95.58899998664856,95.58899998664856,0.0,14.0,23.0,36.2,-36.2
66.38000011444092,66.38000011444092,0.0,12.0,14.0,31.9,-28.9
96.8529999256134,96.8529999256134,0.0,10.0,24.0,26.8,-23.8
96.30999994277954,96.30999994277954,0.0,1.0,24.0,13.4,-10.4
64.30499982833862,64.30499982833862,0.0,10.0,11.0,22.6,-17.9
97.22399997711182,97.22399997711182,0.0,0.0,25.0,12.7,-1.3
71.7960000038147,71.7960000038147,0.0,8.0,20.0,20.0,-20.9
68.63300013542175,68.63300013542175,0.0,4.0,17.0,15.4,-9.5
96.07100009918213,96.0460000038147,0.0,0.0,24.0,13.4,-8.9
102.35399985313416,102.35399985313416,0.0,6.0,28.0,16.7,-10.1
101.66400003433228,101.66400003433228,0.0,0.0,28.0,8.9,-5.3
132.05099987983704,132.05099987983704,0.0,13.0,34.0,32.6,-31.1
103.28900003433228,103.28900003433228,0.0,2.0,29.0,9.1,-0.6
94.07200002670288,94.07100009918213,0.0,3.0,22.0,12.7,-6.8
130.78900003433228,130.78900003433228,0.0,9.0,33.0,26.1,-20.2
65.50699996948242,65.50699996948242,0.0,13.0,13.0,36.3,-34.8
96.2020001411438,96.2020001411438,0.0,2.0,24.0,17.8,-10.5
63.76699995994568,63.76600003242493,0.0,9.0,10.0,22.8,-23.4
98.59000015258789,98.59000015258789,0.0,1.0,26.0,6.6,-1.3
126.07399988174438,126.07399988174438,0.0,15.0,30.0,34.1,-40.6
65.37999987602234,65.37999987602234,0.0,2.0,13.0,13.7,-1.9
132.56299996376038,132.56299996376038,0.0,9.0,34.0,26.0,-18.7
63.77800011634827,63.777000188827515,0.0,10.0,10.0,27.2,-26.7
96.71199989318848,96.71099996566772,0.0,14.0,24.0,34.8,-36.9
123.86700010299683,123.86700010299683,0.0,9.0,29.0,27.5,-19.4
63.74900007247925,63.74900007247925,0.0,9.0,10.0,22.8,-23.4
63.66499996185303,63.663999795913696,0.0,7.0,10.0,16.4,-9.8
97.8050000667572,97.80400013923645,0.0,12.0,25.0,35.6,-28.9
63.75699996948242,63.75699996948242,0.0,12.0,10.0,32.8,-33.3
65.50099992752075,65.50099992752075,0.0,13.0,13.0,36.3,-34.8
98.09700012207031,98.09700012207031,0.0,15.0,25.0,39.2,-40.6
125.29299998283386,125.27900004386902,0.0,14.0,30.0,31.1,-36.2
63.829999923706055,63.806999921798706,0.0,10.0,10.0,27.2,-26.7
68.7720000743866,68.75,0.0,10.0,17.0,22.5,-23.1
160.39200019836426,160.39200019836426,0.0,14.0,38.0,31.1,-36.2
138.79800009727478,138.79700016975403,0.0,6.0,37.0,15.6,-8.9
123.90499997138977,123.90400004386902,0.0,5.0,29.0,18.4,-8.2
68.0019998550415,68.0019998550415,0.0,15.0,16.0,39.9,-42.0
68.88900017738342,68.88900017738342,0.0,15.0,17.0,35.6,-38.3
102.375,102.37400007247925,0.0,5.0,28.0,13.9,-5.9
106.50799989700317,106.50699996948242,0.0,10.0,25.0,31.3,-20.9
